No,デッキ,デッキ内番号,ファイル名,表示語句(front),収録テキスト,読み(参考),意味(参考)
1003,N4 漢字フレーズ,70,n4-kanji-phrases_070.mp3,忙しい一日でした。,忙しい一日でした。,いそがしい いちにちでした。,It was a busy day.
1004,N4 漢字フレーズ,71,n4-kanji-phrases_071.mp3,暇な時は本を読みます。,暇な時は本を読みます。,ひまな ときは ほんを よみます。,I read books when I have free time.
1005,N4 漢字フレーズ,72,n4-kanji-phrases_072.mp3,楽しい旅行でした。,楽しい旅行でした。,たのしい りょこうでした。,It was a fun trip.
1006,N4 漢字フレーズ,73,n4-kanji-phrases_073.mp3,悲しい映画でした。,悲しい映画でした。,かなしい えいがでした。,It was a sad movie.
1007,N4 漢字フレーズ,74,n4-kanji-phrases_074.mp3,笑ってください。,笑ってください。,わらってください。,Please smile.
1008,N4 漢字フレーズ,75,n4-kanji-phrases_075.mp3,泣かないでください。,泣かないでください。,なかないでください。,Please don't cry.
1009,N4 漢字フレーズ,76,n4-kanji-phrases_076.mp3,歌を歌います。,歌を歌います。,うたを うたいます。,I sing a song.
1010,N4 漢字フレーズ,77,n4-kanji-phrases_077.mp3,音が聞こえます。,音が聞こえます。,おとが きこえます。,I can hear a sound.
1011,N4 漢字フレーズ,78,n4-kanji-phrases_078.mp3,音楽を聞くのが好きです。,音楽を聞くのが好きです。,おんがくを きくのが すきです。,I like listening to music.
1012,N4 漢字フレーズ,79,n4-kanji-phrases_079.mp3,写真を撮りました。,写真を撮りました。,しゃしんを とりました。,I took a picture.
1013,N4 漢字フレーズ,80,n4-kanji-phrases_080.mp3,絵を描くのが好きです。,絵を描くのが好きです。,えを かくのが すきです。,I like drawing pictures.
1014,N4 漢字フレーズ,81,n4-kanji-phrases_081.mp3,色は何ですか。,色は何ですか。,いろは なんですか。,What color is it?
1015,N4 漢字フレーズ,82,n4-kanji-phrases_082.mp3,青い空ですね。,青い空ですね。,あおい そらですね。,The sky is blue.
1016,N4 漢字フレーズ,83,n4-kanji-phrases_083.mp3,赤い花です。,赤い花です。,あかい はなです。,It is a red flower.
1017,N4 漢字フレーズ,84,n4-kanji-phrases_084.mp3,白い犬です。,白い犬です。,しろい いぬです。,It is a white dog.
1018,N4 漢字フレーズ,85,n4-kanji-phrases_085.mp3,黒いねこです。,黒いねこです。,くろい ねこです。,It is a black cat.
1019,N4 漢字フレーズ,86,n4-kanji-phrases_086.mp3,茶色のかばんです。,茶色のかばんです。,ちゃいろの かばんです。,It is a brown bag.
1020,N4 漢字フレーズ,87,n4-kanji-phrases_087.mp3,緑が好きです。,緑が好きです。,みどりが すきです。,I like green.
1021,N4 漢字フレーズ,88,n4-kanji-phrases_088.mp3,春に桜を見ます。,春に桜を見ます。,はるに さくらを みます。,I see cherry blossoms in spring.
1022,N4 漢字フレーズ,89,n4-kanji-phrases_089.mp3,夏は暑いです。,夏は暑いです。,なつは あついです。,Summer is hot.
1023,N4 漢字フレーズ,90,n4-kanji-phrases_090.mp3,秋が一番好きです。,秋が一番好きです。,あきが いちばん すきです。,I like autumn the most.
1024,N4 漢字フレーズ,91,n4-kanji-phrases_091.mp3,冬は雪が降ります。,冬は雪が降ります。,ふゆは ゆきが ふります。,It snows in winter.
1025,N4 漢字フレーズ,92,n4-kanji-phrases_092.mp3,天気がいいですね。,天気がいいですね。,てんきが いいですね。,The weather is nice.
1026,N4 漢字フレーズ,93,n4-kanji-phrases_093.mp3,雨が降っています。,雨が降っています。,あめが ふっています。,It is raining.
1027,N4 漢字フレーズ,94,n4-kanji-phrases_094.mp3,雪を見たいです。,雪を見たいです。,ゆきを みたいです。,I want to see snow.
1028,N4 漢字フレーズ,95,n4-kanji-phrases_095.mp3,風が強いです。,風が強いです。,かぜが つよいです。,The wind is strong.
1029,N4 漢字フレーズ,96,n4-kanji-phrases_096.mp3,空がきれいです。,空がきれいです。,そらが きれいです。,The sky is beautiful.
1030,N4 漢字フレーズ,97,n4-kanji-phrases_097.mp3,海へ行きましょう。,海へ行きましょう。,うみへ いきましょう。,Let's go to the sea.
1031,N4 漢字フレーズ,98,n4-kanji-phrases_098.mp3,島に住んでいます。,島に住んでいます。,しまに すんでいます。,I live on an island.
1032,N4 漢字フレーズ,99,n4-kanji-phrases_099.mp3,森を歩きました。,森を歩きました。,もりを あるきました。,I walked through the forest.
1033,N4 漢字フレーズ,100,n4-kanji-phrases_100.mp3,湖の近くです。,湖の近くです。,みずうみの ちかくです。,It is near a lake.
1034,N4 漢字フレーズ,101,n4-kanji-phrases_101.mp3,道をまっすぐ行ってください。,道をまっすぐ行ってください。,みちを まっすぐ いってください。,Please go straight on this road.
1035,N4 漢字フレーズ,102,n4-kanji-phrases_102.mp3,橋を渡ります。,橋を渡ります。,はしを わたります。,I cross the bridge.
1036,N4 漢字フレーズ,103,n4-kanji-phrases_103.mp3,角を右に曲がります。,角を右に曲がります。,かどを みぎに まがります。,Turn right at the corner.
1037,N4 漢字フレーズ,104,n4-kanji-phrases_104.mp3,交差点で待ちます。,交差点で待ちます。,こうさてんで まちます。,I wait at the intersection.
1038,N4 漢字フレーズ,105,n4-kanji-phrases_105.mp3,公園で遊びました。,公園で遊びました。,こうえんで あそびました。,I played in the park.
1039,N4 漢字フレーズ,106,n4-kanji-phrases_106.mp3,市役所へ行きます。,市役所へ行きます。,しやくしょへ いきます。,I will go to city hall.
1040,N4 漢字フレーズ,107,n4-kanji-phrases_107.mp3,町は静かです。,町は静かです。,まちは しずかです。,The town is quiet.
1041,N4 漢字フレーズ,108,n4-kanji-phrases_108.mp3,村に住んでいます。,村に住んでいます。,むらに すんでいます。,I live in a village.
1042,N4 漢字フレーズ,109,n4-kanji-phrases_109.mp3,国へ帰ります。,国へ帰ります。,くにへ かえります。,I will return to my country.
1043,N4 漢字フレーズ,110,n4-kanji-phrases_110.mp3,外国へ行きたいです。,外国へ行きたいです。,がいこくへ いきたいです。,I want to go abroad.
1044,N4 漢字フレーズ,111,n4-kanji-phrases_111.mp3,地図を見てください。,地図を見てください。,ちずを みてください。,Please look at the map.
1045,N4 漢字フレーズ,112,n4-kanji-phrases_112.mp3,住所を書いてください。,住所を書いてください。,じゅうしょを かいてください。,Please write your address.
1046,N4 漢字フレーズ,113,n4-kanji-phrases_113.mp3,銀行でお金を下ろします。,銀行でお金を下ろします。,ぎんこうで おかねを おろします。,I withdraw money at the bank.
1047,N4 漢字フレーズ,114,n4-kanji-phrases_114.mp3,郵便局へ行きます。,郵便局へ行きます。,ゆうびんきょくへ いきます。,I will go to the post office.
1048,N4 漢字フレーズ,115,n4-kanji-phrases_115.mp3,店でパンを買いました。,店でパンを買いました。,みせで ぱんを かいました。,I bought bread at the store.
1049,N4 漢字フレーズ,116,n4-kanji-phrases_116.mp3,会社で働いています。,会社で働いています。,かいしゃで はたらいています。,I work at a company.
1050,N4 漢字フレーズ,117,n4-kanji-phrases_117.mp3,工場で働いています。,工場で働いています。,こうじょうで はたらいています。,I work at a factory.
1051,N4 漢字フレーズ,118,n4-kanji-phrases_118.mp3,図書館で勉強します。,図書館で勉強します。,としょかんで べんきょうします。,I study at the library.
1052,N4 漢字フレーズ,119,n4-kanji-phrases_119.mp3,教室に先生がいます。,教室に先生がいます。,きょうしつに せんせいが います。,The teacher is in the classroom.
1053,N4 漢字フレーズ,120,n4-kanji-phrases_120.mp3,部屋を掃除しました。,部屋を掃除しました。,へやを そうじしました。,I cleaned my room.
1054,N4 漢字フレーズ,121,n4-kanji-phrases_121.mp3,台所で料理します。,台所で料理します。,だいどころで りょうりします。,I cook in the kitchen.
1055,N4 漢字フレーズ,122,n4-kanji-phrases_122.mp3,玄関に靴があります。,玄関に靴があります。,げんかんに くつが あります。,There are shoes in the entrance.
1056,N4 漢字フレーズ,123,n4-kanji-phrases_123.mp3,窓を開けてください。,窓を開けてください。,まどを あけてください。,Please open the window.
1057,N4 漢字フレーズ,124,n4-kanji-phrases_124.mp3,戸を閉めました。,戸を閉めました。,とを しめました。,I closed the door.
1058,N4 漢字フレーズ,125,n4-kanji-phrases_125.mp3,階段を上ります。,階段を上ります。,かいだんを のぼります。,I go up the stairs.
1059,N4 漢字フレーズ,126,n4-kanji-phrases_126.mp3,部長は会議中です。,部長は会議中です。,ぶちょうは かいぎちゅうです。,The manager is in a meeting.
1060,N4 漢字フレーズ,127,n4-kanji-phrases_127.mp3,会議は三時からです。,会議は三時からです。,かいぎは さんじからです。,The meeting starts at 3.
1061,N4 漢字フレーズ,128,n4-kanji-phrases_128.mp3,仕事が終わりました。,仕事が終わりました。,しごとが おわりました。,My work has finished.
1062,N4 漢字フレーズ,129,n4-kanji-phrases_129.mp3,残業しました。,残業しました。,ざんぎょうしました。,I worked overtime.
1063,N4 漢字フレーズ,130,n4-kanji-phrases_130.mp3,給料をもらいました。,給料をもらいました。,きゅうりょうを もらいました。,I received my salary.
1064,N4 漢字フレーズ,131,n4-kanji-phrases_131.mp3,試験は来週です。,試験は来週です。,しけんは らいしゅうです。,The exam is next week.
1065,N4 漢字フレーズ,132,n4-kanji-phrases_132.mp3,宿題をしましたか。,宿題をしましたか。,しゅくだいを しましたか。,Did you do your homework?
1066,N4 漢字フレーズ,133,n4-kanji-phrases_133.mp3,問題が難しいです。,問題が難しいです。,もんだいが むずかしいです。,The question is difficult.
1067,N4 漢字フレーズ,134,n4-kanji-phrases_134.mp3,答えが分かりました。,答えが分かりました。,こたえが わかりました。,I understood the answer.
1068,N4 漢字フレーズ,135,n4-kanji-phrases_135.mp3,質問があります。,質問があります。,しつもんが あります。,I have a question.
1069,N4 漢字フレーズ,136,n4-kanji-phrases_136.mp3,意味を教えてください。,意味を教えてください。,いみを おしえてください。,Please tell me the meaning.
1070,N4 漢字フレーズ,137,n4-kanji-phrases_137.mp3,漢字を書いてください。,漢字を書いてください。,かんじを かいてください。,Please write the kanji.
1071,N4 漢字フレーズ,138,n4-kanji-phrases_138.mp3,文章を読みます。,文章を読みます。,ぶんしょうを よみます。,I read the passage.
1072,N4 漢字フレーズ,139,n4-kanji-phrases_139.mp3,英語を話せます。,英語を話せます。,えいごを はなせます。,I can speak English.
1073,N4 漢字フレーズ,140,n4-kanji-phrases_140.mp3,日本語を勉強しています。,日本語を勉強しています。,にほんごを べんきょうしています。,I am studying Japanese.
1074,N4 漢字フレーズ,141,n4-kanji-phrases_141.mp3,料理を作りました。,料理を作りました。,りょうりを つくりました。,I cooked a meal.
1075,N4 漢字フレーズ,142,n4-kanji-phrases_142.mp3,野菜を食べます。,野菜を食べます。,やさいを たべます。,I eat vegetables.
1076,N4 漢字フレーズ,143,n4-kanji-phrases_143.mp3,肉が好きです。,肉が好きです。,にくが すきです。,I like meat.
1077,N4 漢字フレーズ,144,n4-kanji-phrases_144.mp3,魚を買いました。,魚を買いました。,さかなを かいました。,I bought fish.
1078,N4 漢字フレーズ,145,n4-kanji-phrases_145.mp3,牛乳を飲みます。,牛乳を飲みます。,ぎゅうにゅうを のみます。,I drink milk.
1079,N4 漢字フレーズ,146,n4-kanji-phrases_146.mp3,卵を二つください。,卵を二つください。,たまごを ふたつください。,Please give me two eggs.
1080,N4 漢字フレーズ,147,n4-kanji-phrases_147.mp3,果物が好きです。,果物が好きです。,くだものが すきです。,I like fruit.
1081,N4 漢字フレーズ,148,n4-kanji-phrases_148.mp3,米を買いました。,米を買いました。,こめを かいました。,I bought rice.
1082,N4 漢字フレーズ,149,n4-kanji-phrases_149.mp3,茶を飲みましょう。,茶を飲みましょう。,ちゃを のみましょう。,Let's drink tea.
1083,N4 漢字フレーズ,150,n4-kanji-phrases_150.mp3,酒はあまり飲みません。,酒はあまり飲みません。,さけは あまり のみません。,I don't drink much alcohol.
1084,N4 漢字フレーズ,151,n4-kanji-phrases_151.mp3,店員に聞きました。,店員に聞きました。,てんいんに ききました。,I asked the store clerk.
1085,N4 漢字フレーズ,152,n4-kanji-phrases_152.mp3,お客さんが来ました。,お客さんが来ました。,おきゃくさんが きました。,A customer came.
1086,N4 漢字フレーズ,153,n4-kanji-phrases_153.mp3,商品を見ています。,商品を見ています。,しょうひんを みています。,I am looking at the product.
1087,N4 漢字フレーズ,154,n4-kanji-phrases_154.mp3,値段が高いです。,値段が高いです。,ねだんが たかいです。,The price is high.
1088,N4 漢字フレーズ,155,n4-kanji-phrases_155.mp3,料金はいくらですか。,料金はいくらですか。,りょうきんは いくらですか。,How much is the fee?
1089,N4 漢字フレーズ,156,n4-kanji-phrases_156.mp3,切符を買いました。,切符を買いました。,きっぷを かいました。,I bought a ticket.
1090,N4 漢字フレーズ,157,n4-kanji-phrases_157.mp3,予約をしました。,予約をしました。,よやくを しました。,I made a reservation.
1091,N4 漢字フレーズ,158,n4-kanji-phrases_158.mp3,旅館に泊まります。,旅館に泊まります。,りょかんに とまります。,I will stay at a Japanese inn.
1092,N4 漢字フレーズ,159,n4-kanji-phrases_159.mp3,ホテルは駅の近くです。,ホテルは駅の近くです。,ほてるは えきの ちかくです。,The hotel is near the station.
1093,N4 漢字フレーズ,160,n4-kanji-phrases_160.mp3,旅行が楽しみです。,旅行が楽しみです。,りょこうが たのしみです。,I am looking forward to the trip.
1094,N4 漢字フレーズ,161,n4-kanji-phrases_161.mp3,電車が来ました。,電車が来ました。,でんしゃが きました。,The train arrived.
1095,N4 漢字フレーズ,162,n4-kanji-phrases_162.mp3,急行に乗ります。,急行に乗ります。,きゅうこうに のります。,I will take the express train.
1096,N4 漢字フレーズ,163,n4-kanji-phrases_163.mp3,特急は速いです。,特急は速いです。,とっきゅうは はやいです。,The limited express is fast.
1097,N4 漢字フレーズ,164,n4-kanji-phrases_164.mp3,駅員に聞いてください。,駅員に聞いてください。,えきいんに きいてください。,Please ask the station staff.
1098,N4 漢字フレーズ,165,n4-kanji-phrases_165.mp3,運転が上手です。,運転が上手です。,うんてんが じょうずです。,He is good at driving.
1099,N4 漢字フレーズ,166,n4-kanji-phrases_166.mp3,自転車で行きます。,自転車で行きます。,じてんしゃで いきます。,I go by bicycle.
1100,N4 漢字フレーズ,167,n4-kanji-phrases_167.mp3,飛行機で北海道へ行きました。,飛行機で北海道へ行きました。,ひこうきで ほっかいどうへ いきました。,I went to Hokkaido by plane.
1101,N4 漢字フレーズ,168,n4-kanji-phrases_168.mp3,空港は広いです。,空港は広いです。,くうこうは ひろいです。,The airport is large.
1102,N4 漢字フレーズ,169,n4-kanji-phrases_169.mp3,船に乗ったことがあります。,船に乗ったことがあります。,ふねに のったことがあります。,I have ridden a boat.
1103,N4 漢字フレーズ,170,n4-kanji-phrases_170.mp3,道が込んでいます。,道が込んでいます。,みちが こんでいます。,The road is crowded.
1104,N4 漢字フレーズ,171,n4-kanji-phrases_171.mp3,電話番号を書いてください。,電話番号を書いてください。,でんわばんごうを かいてください。,Please write your phone number.
1105,N4 漢字フレーズ,172,n4-kanji-phrases_172.mp3,手紙を送りました。,手紙を送りました。,てがみを おくりました。,I sent a letter.
1106,N4 漢字フレーズ,173,n4-kanji-phrases_173.mp3,新聞を読みます。,新聞を読みます。,しんぶんを よみます。,I read the newspaper.
1107,N4 漢字フレーズ,174,n4-kanji-phrases_174.mp3,雑誌を買いました。,雑誌を買いました。,ざっしを かいました。,I bought a magazine.
1108,N4 漢字フレーズ,175,n4-kanji-phrases_175.mp3,番組を見ています。,番組を見ています。,ばんぐみを みています。,I am watching a program.
1109,N4 漢字フレーズ,176,n4-kanji-phrases_176.mp3,映画館へ行きました。,映画館へ行きました。,えいがかんへ いきました。,I went to the movie theater.
1110,N4 漢字フレーズ,177,n4-kanji-phrases_177.mp3,音楽会に行きます。,音楽会に行きます。,おんがくかいに いきます。,I will go to a concert.
1111,N4 漢字フレーズ,178,n4-kanji-phrases_178.mp3,有名な歌手です。,有名な歌手です。,ゆうめいな かしゅです。,He is a famous singer.
1112,N4 漢字フレーズ,179,n4-kanji-phrases_179.mp3,練習を続けます。,練習を続けます。,れんしゅうを つづけます。,I continue practicing.
1113,N4 漢字フレーズ,180,n4-kanji-phrases_180.mp3,試合を見ました。,試合を見ました。,しあいを みました。,I watched the match.
1114,N4 漢字フレーズ,181,n4-kanji-phrases_181.mp3,運動が好きです。,運動が好きです。,うんどうが すきです。,I like exercise.
1115,N4 漢字フレーズ,182,n4-kanji-phrases_182.mp3,泳ぐことができます。,泳ぐことができます。,およぐことが できます。,I can swim.
1116,N4 漢字フレーズ,183,n4-kanji-phrases_183.mp3,走るのが速いです。,走るのが速いです。,はしるのが はやいです。,I run fast.
1117,N4 漢字フレーズ,184,n4-kanji-phrases_184.mp3,歩いて帰ります。,歩いて帰ります。,あるいて かえります。,I will walk home.
1118,N4 漢字フレーズ,185,n4-kanji-phrases_185.mp3,休みの日は寝ます。,休みの日は寝ます。,やすみの ひは ねます。,I sleep on my days off.
1119,N4 漢字フレーズ,186,n4-kanji-phrases_186.mp3,起きるのが早いです。,起きるのが早いです。,おきるのが はやいです。,I wake up early.
1120,N4 漢字フレーズ,187,n4-kanji-phrases_187.mp3,働きたいです。,働きたいです。,はたらきたいです。,I want to work.
1121,N4 漢字フレーズ,188,n4-kanji-phrases_188.mp3,結婚しています。,結婚しています。,けっこんしています。,I am married.
1122,N4 漢字フレーズ,189,n4-kanji-phrases_189.mp3,誕生日は五月です。,誕生日は五月です。,たんじょうびは ごがつです。,My birthday is in May.
1123,N4 漢字フレーズ,190,n4-kanji-phrases_190.mp3,用事があります。,用事があります。,ようじが あります。,I have something to do.
1124,N4 漢字フレーズ,191,n4-kanji-phrases_191.mp3,約束を忘れました。,約束を忘れました。,やくそくを わすれました。,I forgot the appointment.
1125,N4 漢字フレーズ,192,n4-kanji-phrases_192.mp3,心が落ち着きました。,心が落ち着きました。,こころが おちつきました。,I felt calm.
1126,N4 漢字フレーズ,193,n4-kanji-phrases_193.mp3,気をつけてください。,気をつけてください。,きを つけてください。,Please be careful.
1127,N4 漢字フレーズ,194,n4-kanji-phrases_194.mp3,理由を教えてください。,理由を教えてください。,りゆうを おしえてください。,Please tell me the reason.
1128,N4 漢字フレーズ,195,n4-kanji-phrases_195.mp3,経験があります。,経験があります。,けいけんが あります。,I have experience.
1129,N4 漢字フレーズ,196,n4-kanji-phrases_196.mp3,決定しました。,決定しました。,けっていしました。,It has been decided.
1130,N4 漢字フレーズ,197,n4-kanji-phrases_197.mp3,説明を聞きました。,説明を聞きました。,せつめいを ききました。,I listened to the explanation.
1131,N4 漢字フレーズ,198,n4-kanji-phrases_198.mp3,連絡してください。,連絡してください。,れんらくしてください。,Please contact me.
1132,N4 漢字フレーズ,199,n4-kanji-phrases_199.mp3,準備はできましたか。,準備はできましたか。,じゅんびは できましたか。,Are you ready?
1133,N4 漢字フレーズ,200,n4-kanji-phrases_200.mp3,注意してください。,注意してください。,ちゅういしてください。,Please be careful.
1134,N4 漢字フレーズ,201,n4-kanji-phrases_201.mp3,研究しています。,研究しています。,けんきゅうしています。,I am doing research.
1135,N4 漢字フレーズ,202,n4-kanji-phrases_202.mp3,発表は明日です。,発表は明日です。,はっぴょうは あしたです。,The presentation is tomorrow.
1136,N4 漢字フレーズ,203,n4-kanji-phrases_203.mp3,選んでください。,選んでください。,えらんでください。,Please choose.
1137,N4 漢字フレーズ,204,n4-kanji-phrases_204.mp3,相談したいことがあります。,相談したいことがあります。,そうだんしたいことが あります。,I have something I'd like to discuss.
1138,N4 漢字フレーズ,205,n4-kanji-phrases_205.mp3,協力ありがとうございます。,協力ありがとうございます。,きょうりょく ありがとうございます。,Thank you for your cooperation.
1139,N4 漢字フレーズ,206,n4-kanji-phrases_206.mp3,確認してください。,確認してください。,かくにんしてください。,Please confirm.
1140,N4 漢字フレーズ,207,n4-kanji-phrases_207.mp3,参加したいです。,参加したいです。,さんかしたいです。,I would like to participate.
1141,N4 漢字フレーズ,208,n4-kanji-phrases_208.mp3,利用できます。,利用できます。,りようできます。,You can use it.
1142,N4 漢字フレーズ,209,n4-kanji-phrases_209.mp3,連続で三日勉強しました。,連続で三日勉強しました。,れんぞくで みっか べんきょうしました。,I studied for three days in a row.
1143,N4 漢字フレーズ,210,n4-kanji-phrases_210.mp3,毎朝コーヒーを飲みます。,毎朝コーヒーを飲みます。,まいあさ こーひーを のみます。,I drink coffee every morning.
1144,N4 漢字フレーズ,211,n4-kanji-phrases_211.mp3,昼休みに散歩します。,昼休みに散歩します。,ひるやすみに さんぽします。,I take a walk during lunch break.
1145,N4 漢字フレーズ,212,n4-kanji-phrases_212.mp3,夜遅くまで働きました。,夜遅くまで働きました。,よるおそくまで はたらきました。,I worked until late at night.
1146,N4 漢字フレーズ,213,n4-kanji-phrases_213.mp3,去年の夏に旅行しました。,去年の夏に旅行しました。,きょねんの なつに りょこうしました。,I traveled last summer.
1147,N4 漢字フレーズ,214,n4-kanji-phrases_214.mp3,来週試験があります。,来週試験があります。,らいしゅう しけんが あります。,I have an exam next week.
1148,N4 漢字フレーズ,215,n4-kanji-phrases_215.mp3,家族と食事しました。,家族と食事しました。,かぞくと しょくじしました。,I had a meal with my family.
1149,N4 漢字フレーズ,216,n4-kanji-phrases_216.mp3,友だちに手紙を書きました。,友だちに手紙を書きました。,ともだちに てがみを かきました。,I wrote a letter to my friend.
1150,N4 漢字フレーズ,217,n4-kanji-phrases_217.mp3,病院で薬をもらいました。,病院で薬をもらいました。,びょういんで くすりを もらいました。,I received medicine at the hospital.
1151,N4 漢字フレーズ,218,n4-kanji-phrases_218.mp3,駅の近くに銀行があります。,駅の近くに銀行があります。,えきの ちかくに ぎんこうが あります。,There is a bank near the station.
1152,N4 漢字フレーズ,219,n4-kanji-phrases_219.mp3,地図を見ながら歩きました。,地図を見ながら歩きました。,ちずを みながら あるきました。,I walked while looking at a map.
1153,N4 漢字フレーズ,220,n4-kanji-phrases_220.mp3,写真をたくさん撮りました。,写真をたくさん撮りました。,しゃしんを たくさん とりました。,I took many pictures.
1154,N4 漢字フレーズ,221,n4-kanji-phrases_221.mp3,音楽を聞きながら勉強します。,音楽を聞きながら勉強します。,おんがくを ききながら べんきょうします。,I study while listening to music.
1155,N4 漢字フレーズ,222,n4-kanji-phrases_222.mp3,空港で友だちを迎えました。,空港で友だちを迎えました。,くうこうで ともだちを むかえました。,I picked up my friend at the airport.
1156,N4 漢字フレーズ,223,n4-kanji-phrases_223.mp3,飛行機は少し遅れました。,飛行機は少し遅れました。,ひこうきは すこし おくれました。,The plane was a little late.
1157,N4 漢字フレーズ,224,n4-kanji-phrases_224.mp3,会議の前に資料を読みました。,会議の前に資料を読みました。,かいぎの まえに しりょうを よみました。,I read the materials before the meeting.
1158,N4 漢字フレーズ,225,n4-kanji-phrases_225.mp3,予約の確認をお願いします。,予約の確認をお願いします。,よやくの かくにんを おねがいします。,Please confirm the reservation.
1159,N4 漢字フレーズ,226,n4-kanji-phrases_226.mp3,試合に参加しました。,試合に参加しました。,しあいに さんかしました。,I participated in the match.
1160,N4 漢字フレーズ,227,n4-kanji-phrases_227.mp3,経験から学びました。,経験から学びました。,けいけんから まなびました。,I learned from experience.
1161,N4 漢字フレーズ,228,n4-kanji-phrases_228.mp3,理由が分かりました。,理由が分かりました。,りゆうが わかりました。,I understood the reason.
1162,N4 漢字フレーズ,229,n4-kanji-phrases_229.mp3,準備が終わりました。,準備が終わりました。,じゅんびが おわりました。,The preparations are finished.
1163,N5 漢字フレーズ,1,n5-kanji-phrases_001.mp3,今日は日曜日です。,今日は日曜日です。,きょうは にちようび です。,Today is Sunday.
1164,N5 漢字フレーズ,2,n5-kanji-phrases_002.mp3,来月、日本へ行きます。,来月、日本へ行きます。,らいげつ、にほんへ いきます。,I will go to Japan next month.
1165,N5 漢字フレーズ,3,n5-kanji-phrases_003.mp3,火曜日は忙しいです。,火曜日は忙しいです。,かようびは いそがしいです。,Tuesday is busy.
1166,N5 漢字フレーズ,4,n5-kanji-phrases_004.mp3,水をください。,水をください。,みずを ください。,Please give me some water.
1167,N5 漢字フレーズ,5,n5-kanji-phrases_005.mp3,あの木は大きいです。,あの木は大きいです。,あの きは おおきいです。,That tree is big.
1168,N5 漢字フレーズ,6,n5-kanji-phrases_006.mp3,お金がありません。,お金がありません。,おかねが ありません。,I don't have money.
1169,N5 漢字フレーズ,7,n5-kanji-phrases_007.mp3,土曜日に働きます。,土曜日に働きます。,どようびに はたらきます。,I work on Saturday.
1170,N5 漢字フレーズ,8,n5-kanji-phrases_008.mp3,あの人は先生です。,あの人は先生です。,あの ひとは せんせいです。,That person is a teacher.
1171,N5 漢字フレーズ,9,n5-kanji-phrases_009.mp3,子どもがいます。,子どもがいます。,こどもが います。,There is a child.
1172,N5 漢字フレーズ,10,n5-kanji-phrases_010.mp3,あの女の人はだれですか。,あの女の人はだれですか。,あの おんなのひとは だれですか。,Who is that woman?
1173,N5 漢字フレーズ,11,n5-kanji-phrases_011.mp3,男の子が走っています。,男の子が走っています。,おとこのこが はしっています。,A boy is running.
1174,N5 漢字フレーズ,12,n5-kanji-phrases_012.mp3,山に登りたいです。,山に登りたいです。,やまに のぼりたいです。,I want to climb a mountain.
1175,N5 漢字フレーズ,13,n5-kanji-phrases_013.mp3,川で魚を見ました。,川で魚を見ました。,かわで さかなを みました。,I saw fish in the river.
1176,N5 漢字フレーズ,14,n5-kanji-phrases_014.mp3,田中さんは日本人です。,田中さんは日本人です。,たなかさんは にほんじんです。,Mr./Ms. Tanaka is Japanese.
1177,N5 漢字フレーズ,15,n5-kanji-phrases_015.mp3,口を開けてください。,口を開けてください。,くちを あけてください。,Please open your mouth.
1178,N5 漢字フレーズ,16,n5-kanji-phrases_016.mp3,目が痛いです。,目が痛いです。,めが いたいです。,My eye hurts.
1179,N5 漢字フレーズ,17,n5-kanji-phrases_017.mp3,耳で聞いてください。,耳で聞いてください。,みみで きいてください。,Please listen carefully.
1180,N5 漢字フレーズ,18,n5-kanji-phrases_018.mp3,手を洗いました。,手を洗いました。,てを あらいました。,I washed my hands.
1181,N5 漢字フレーズ,19,n5-kanji-phrases_019.mp3,足が疲れました。,足が疲れました。,あしが つかれました。,My legs are tired.
1182,N5 漢字フレーズ,20,n5-kanji-phrases_020.mp3,日本語を勉強しています。,日本語を勉強しています。,にほんごを べんきょうしています。,I am studying Japanese.
1183,N5 漢字フレーズ,21,n5-kanji-phrases_021.mp3,学校は駅の近くです。,学校は駅の近くです。,がっこうは えきの ちかくです。,The school is near the station.
1184,N5 漢字フレーズ,22,n5-kanji-phrases_022.mp3,先生に聞きました。,先生に聞きました。,せんせいに ききました。,I asked the teacher.
1185,N5 漢字フレーズ,23,n5-kanji-phrases_023.mp3,私は大学生です。,私は大学生です。,わたしは だいがくせいです。,I am a university student.
1186,N5 漢字フレーズ,24,n5-kanji-phrases_024.mp3,この本は面白いです。,この本は面白いです。,この ほんは おもしろいです。,This book is interesting.
1187,N5 漢字フレーズ,25,n5-kanji-phrases_025.mp3,車で行きます。,車で行きます。,くるまで いきます。,I will go by car.
1188,N5 漢字フレーズ,26,n5-kanji-phrases_026.mp3,電車に乗ります。,電車に乗ります。,でんしゃに のります。,I ride the train.
1189,N5 漢字フレーズ,27,n5-kanji-phrases_027.mp3,駅で友だちを待ちます。,駅で友だちを待ちます。,えきで ともだちを まちます。,I wait for my friend at the station.
1190,N5 漢字フレーズ,28,n5-kanji-phrases_028.mp3,朝ご飯を食べました。,朝ご飯を食べました。,あさごはんを たべました。,I ate breakfast.
1191,N5 漢字フレーズ,29,n5-kanji-phrases_029.mp3,お茶を飲みます。,お茶を飲みます。,おちゃを のみます。,I drink tea.
1192,N5 漢字フレーズ,30,n5-kanji-phrases_030.mp3,映画を見ました。,映画を見ました。,えいがを みました。,I watched a movie.
1193,N5 漢字フレーズ,31,n5-kanji-phrases_031.mp3,明日東京へ行きます。,明日東京へ行きます。,あした とうきょうへ いきます。,I will go to Tokyo tomorrow.
